title,body,site,time
Создание стартапа. Какие изменения несут санкции?,"Эта статья – первая с момента начала боевых действий на Украине. Конечно, хотелось бы, чтобы всё это поскорее закончилось, но, так или иначе, санкции приняты, и настала пора думать, какие сейчас есть перспективы у стартапов и что вообще делать дальше. Давайте разберёмся. татья – первая с момента начала боевых действий на Украине. Конечно, хотелось бы, чтобы всё это поскорее закончилось, но, так или иначе, санкции приняты, и настала пора думать, какие сейчас есть перспективы у стартапов и что вообще делать дальше. Давайте разберёмся. ",https://vc.ru/trade/378537-sozdanie-startapa-kakie-izmeneniya-nesut-sankcii,2022-03-12 13:37:52
Визы в Европу: кратко о ситуации на 12 марта,"Норвегия и Венгрия больше не принимают заявления на визы в России, а Эстония совсем (почти) закрыла въезд. Но еще осталось несколько стран Европы, что визы выдают.гия и Венгрия больше не принимают заявления на визы в России, а Эстония совсем (почти) закрыла въезд. Но еще осталось несколько стран Европы, что визы выдают.",https://vc.ru/migrate/378525-vizy-v-evropu-kratko-o-situacii-na-12-marta,2022-03-12 12:46:17
«Не сможем конкурировать с крупными производителями»: ювелирам отменили налоговые льготы из-за отмены НДС на ,Небольшие ювелирные мастерские готовятся повышать цены на свои товары и говорят об уничтожении отрасли.ьшие ювелирные мастерские готовятся повышать цены на свои товары и говорят об уничтожении отрасли.,https://vc.ru/offline/378149-ne-smozhem-konkurirovat-s-krupnymi-proizvoditelyami-yuveliram-otmenili-nalogovye-lgoty-iz-za-otmeny-nds-na-zoloto,2022-03-12 12:41:01
Перестаньте создавать Телеги! Но что же делать без Инстаграма? Советы бизнесу и людям,"Мы живём в 2022 году, а люди не научились отличать мессенджер от соцсети и сейчас насоздавали себе Телеграм-каналов. Это может быть огромной ошибкой. Рассказываю, почему и что делать — и бизнесу, и простым пользователям.вём в 2022 году, а люди не научились отличать мессенджер от соцсети и сейчас насоздавали себе Телеграм-каналов. Это может быть огромной ошибкой. Рассказываю, почему и что делать — и бизнесу, и простым пользователям.",https://vc.ru/marketing/378484-perestante-sozdavat-telegi-no-chto-zhe-delat-bez-instagrama-sovety-biznesu-i-lyudyam,2022-03-12 12:08:47
"Инстаграм – всё. Куда и как перенести свои сторисы из «Актуального», чтобы их можно было показать, например, в Телеграме","Бесплатный сервис, который поможет вам перенести, а ещё важнее – показать привычные сторисы внутри Telegram и других площадок, где нет «Историй».атный сервис, который поможет вам перенести, а ещё важнее – показать привычные сторисы внутри Telegram и других площадок, где нет «Историй».",https://vc.ru/social/378502-instagram-vse-kuda-i-kak-perenesti-svoi-storisy-iz-aktualnogo-chtoby-ih-mozhno-bylo-pokazat-naprimer-v-telegrame,2022-03-12 12:08:40
Альтернатива традиционным депозитам – может ли инвестирование в криптовалюту помочь сохранить сбережения?,,https://vc.ru/crypto/378499-alternativa-tradicionnym-depozitam-mozhet-li-investirovanie-v-kriptovalyutu-pomoch-sohranit-sberezheniya,2022-03-12 11:52:46
Как спасти контент из Instagram и перенести его в VK,"Всем привет! У нас есть еще пару дней, чтобы сделать перенос бизнеса/блога в VK. Подготовила памятку по тому, какой минимум нужно выполнить, чтобы продолжить деятельность в другой соцсети.привет! У нас есть еще пару дней, чтобы сделать перенос бизнеса/блога в VK. Подготовила памятку по тому, какой минимум нужно выполнить, чтобы продолжить деятельность в другой соцсети.",https://vc.ru/marketing/378453-kak-spasti-kontent-iz-instagram-i-perenesti-ego-v-vk,2022-03-12 11:47:16
"«Ладно блогеры, чёрт с нами, но подумали бы о малом бизнесе — у него нет лишних денег на ","Замены для Instagram нет: в каналах Telegram сложно ориентироваться, а во «ВКонтакте» и «Яндекс.Дзене» своя атмосфера. Люди с бизнесом вспоминают, чем так сильно отличался сервис от остальных площадок.ы для Instagram нет: в каналах Telegram сложно ориентироваться, а во «ВКонтакте» и «Яндекс.Дзене» своя атмосфера. Люди с бизнесом вспоминают, чем так сильно отличался сервис от остальных площадок.",https://vc.ru/social/378297-ladno-blogery-chert-s-nami-no-podumali-by-o-malom-biznese-u-nego-net-lishnih-deneg-na-prodvizhenie,2022-03-12 11:42:20
ЦБ на полгода запретил банкам брать комиссию за выдачу ,"Если банки брали такую комиссию, они должны её вернуть. банки брали такую комиссию, они должны её вернуть. ",https://vc.ru/finance/378473-cb-na-polgoda-zapretil-bankam-brat-komissiyu-za-vydachu-valyuty,2022-03-12 10:49:36
"Главное в экономике на фоне «операции» в Украине, день 17: ЦБ ограничил комиссию на выдачу ","Собираем новости и события семнадцатого дня «военной операции»: о рынках, банках и реакциях компаний.аем новости и события семнадцатого дня «военной операции»: о рынках, банках и реакциях компаний.",https://vc.ru/finance/378452-glavnoe-v-ekonomike-na-fone-operacii-v-ukraine-den-17-cb-ogranichil-komissiyu-na-vydachu-valyuty,2022-03-12 10:11:31
Роскомнадзор заблокировал петербургское издание ,Оно продолжит работу.родолжит работу.,https://vc.ru/media/378456-roskomnadzor-zablokiroval-peterburgskoe-izdanie-bumaga,2022-03-12 09:38:53
